Tea, Price:$1.99, Rating: NOT_RATED, Best Before: 04/04/2021
Review: FOUR_STAR	 Muito bom
Review: FIVE_STAR	 Perfeito
Review: ONE_STAR	 Péssimo
Review: TWO_STAR	 Ruim
Review: THREE_STAR	 Mais ou menos
Review: FIVE_STAR	 Perfeito
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
Review: NOT_RATED	Yet another review
