Tea Second Option, Preço:£5.99, Classificação: ONE_STAR, Melhor Antes: 04/04/2021
Revisão: FOUR_STAR	 Muito bom
Revisão: FIVE_STAR	 Perfeito
Revisão: ONE_STAR	 Péssimo
Revisão: TWO_STAR	 Ruim
Revisão: THREE_STAR	 Mais ou menos
Revisão: FIVE_STAR	 Perfeito
Revisão: NOT_RATED	Yet another review
Revisão: NOT_RATED	Yet another review
Revisão: NOT_RATED	Yet another review
Revisão: NOT_RATED	Yet another review
Revisão: NOT_RATED	Yet another review
Revisão: NOT_RATED	Yet another review
Revisão: NOT_RATED	Yet another review
Revisão: NOT_RATED	Yet another review
Revisão: NOT_RATED	Yet another review
Revisão: NOT_RATED	Yet another review
Revisão: NOT_RATED	Yet another review
Revisão: NOT_RATED	Yet another review
Revisão: NOT_RATED	Yet another review
