Tea, Preço:€ 1.99, Classificação: TWO_STAR, Melhor Antes: 2021-04-04
Revisão: FOUR_STAR	 Muito bom
Revisão: FIVE_STAR	 Perfeito
Revisão: ONE_STAR	 Péssimo
Revisão: TWO_STAR	 Ruim
Revisão: THREE_STAR	 Mais ou menos
Revisão: FIVE_STAR	 Perfeito
Revisão: NOT_RATED	Yet another review
Revisão: NOT_RATED	Yet another review
Revisão: NOT_RATED	Yet another review
Revisão: NOT_RATED	Yet another review
Revisão: NOT_RATED	Yet another review
Revisão: NOT_RATED	Yet another review
Revisão: NOT_RATED	Yet another review
